Product_ID,Sale_Date,Sales_Rep,Region,Unit_Price,Quantity_Sold,Sales_Amount,Customer_Type,Unit_Cost,Discount,Payment_Method,Sales_Channel,Region_and_Sales_Rep
1008,2023-01-01,Eve,North,145.0125714,38,5510.477714,Returning,132.4351429,0.05,Cash,Online,North-Eve
1070,2023-01-01,Eve,South,24.658,12,295.896,Returning,18.98085714,0.25,Bank Transfer,Retail,South-Eve
1089,2023-01-01,Charlie,North,122.9914286,35,4304.7,New,116.3145714,0.14,Credit Card,Online,North-Charlie
1064,2023-01-02,David,South,65.20657143,10,652.0657143,Returning,64.05742857,0.2,Credit Card,Online,South-David
1075,2023-01-02,David,West,130.216,26,3385.616,New,129.5822857,0,Credit Card,Online,West-David
1027,2023-01-03,Bob,East,32.65771429,30,979.7314286,Returning,21.31228571,0.2,Credit Card,Online,East-Bob
1087,2023-01-03,Charlie,East,110.8722857,20,2217.445714,New,103.5982857,0.24,Bank Transfer,Online,East-Charlie
1099,2023-01-03,Bob,East,134.62,31,4173.22,New,132.3671429,0.21,Cash,Retail,East-Bob
1002,2023-01-04,Bob,East,53.30942857,17,906.2602857,New,49.34628571,0.21,Cash,Online,East-Bob
1051,2023-01-04,Eve,North,106.0262857,14,1484.368,New,105.3374286,0.1,Bank Transfer,Retail,North-Eve
1064,2023-01-04,Eve,East,144.9834286,10,1449.834286,New,136.1417143,0.12,Cash,Online,East-Eve
1074,2023-01-04,Eve,South,52.81971429,38,2007.149143,Returning,39.84971429,0,Bank Transfer,Retail,South-Eve
1086,2023-01-04,Bob,South,51.372,8,410.976,New,44.83742857,0.07,Credit Card,Online,South-Bob
1090,2023-01-04,Eve,North,123.5345714,14,1729.484,Returning,115.3488571,0.27,Credit Card,Online,North-Eve
1023,2023-01-05,Alice,East,26.13628571,2,52.27257143,Returning,16.43771429,0.26,Bank Transfer,Online,East-Alice
1052,2023-01-05,Bob,North,112.2645714,11,1234.910286,New,98.61685714,0.3,Credit Card,Retail,North-Bob
1081,2023-01-05,Bob,South,26.80114286,44,1179.250286,Returning,17.67971429,0.03,Cash,Online,South-Bob
1062,2023-01-06,Eve,East,139.6702857,15,2095.054286,New,135.9014286,0.29,Credit Card,Online,East-Eve
1087,2023-01-06,Eve,South,113.2757143,46,5210.682857,New,105.786,0.12,Bank Transfer,Online,South-Eve
1021,2023-01-07,Bob,North,106.5837143,9,959.2534286,New,96.15085714,0.17,Bank Transfer,Online,North-Bob
1034,2023-01-07,David,West,6.703714286,28,187.704,New,3.927714286,0.27,Bank Transfer,Retail,West-David
1065,2023-01-07,Eve,North,60.47828571,6,362.8697143,New,57.71142857,0.11,Credit Card,Online,North-Eve
1069,2023-01-07,Alice,East,61.49142857,6,368.9485714,New,50.53142857,0.25,Bank Transfer,Retail,East-Alice
1085,2023-01-07,Eve,West,24.07028571,16,385.1245714,New,13.488,0,Cash,Retail,West-Eve
1039,2023-01-08,Eve,South,33.57771429,4,134.3108571,Returning,30.11771429,0.12,Bank Transfer,Retail,South-Eve
1041,2023-01-08,David,East,33.43314286,36,1203.593143,Returning,24.70771429,0.11,Cash,Retail,East-David
1037,2023-01-09,Charlie,North,149.8037143,41,6141.952286,New,141.8591429,0.01,Credit Card,Online,North-Charlie
1051,2023-01-09,David,South,86.93514286,23,1999.508286,Returning,74.23371429,0.24,Credit Card,Online,South-David
1057,2023-01-09,Charlie,North,21.32228571,12,255.8674286,Returning,18.26171429,0.04,Bank Transfer,Retail,North-Charlie
1066,2023-01-09,Alice,North,82.08,48,3939.84,New,73.95828571,0.17,Cash,Online,North-Alice
1067,2023-01-09,Charlie,North,15.24514286,48,731.7668571,New,6.018,0.04,Bank Transfer,Online,North-Charlie
1054,2023-01-10,Eve,South,83.69485714,40,3347.794286,Returning,75.83171429,0.08,Cash,Online,South-Eve
1094,2023-01-10,Eve,North,56.65485714,25,1416.371429,New,55.23971429,0.17,Bank Transfer,Online,North-Eve
1044,2023-01-11,Eve,North,144.2988571,5,721.4942857,New,136.082,0.25,Cash,Retail,North-Eve
1060,2023-01-11,Charlie,West,148.1325714,34,5036.507429,New,142.406,0.17,Cash,Online,West-Charlie
1077,2023-01-11,Eve,North,27.72828571,35,970.49,Returning,16.72485714,0.15,Bank Transfer,Retail,North-Eve
1084,2023-01-11,Bob,East,18.52257143,21,388.974,Returning,16.47828571,0.2,Bank Transfer,Online,East-Bob
1088,2023-01-11,Alice,South,111.8688571,11,1230.557429,Returning,110.9751429,0.02,Cash,Online,South-Alice
1013,2023-01-12,Alice,West,38.63171429,35,1352.11,Returning,37.506,0.22,Bank Transfer,Retail,West-Alice
1022,2023-01-12,Eve,East,71.56,13,930.28,Returning,66.07,0.06,Bank Transfer,Online,East-Eve
1045,2023-01-12,Charlie,South,119.676,35,4188.66,New,107.9411429,0.17,Bank Transfer,Online,South-Charlie
1048,2023-01-12,Charlie,East,30.50457143,47,1433.714857,New,20.06971429,0.24,Cash,Retail,East-Charlie
1078,2023-01-12,Eve,East,138.6688571,36,4992.078857,Returning,129.968,0.25,Credit Card,Retail,East-Eve
